tool_slug,captured_on,verdict,freshness,days_since_push,recent_commits,release_gap_days,issue_response_hours,contributors_90d,stars,open_issues,archived,reasons,captured_at
aionui,2026-08-19,maintained,100,0,100,0,0.5,11,32102,620,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.1.58 0 days ago; 159 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about under an hour."",""effect"":6},{""fact"":""maintainers"",""detail"":""11 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-19T06:20:44.694432+00:00
alphacodium,2026-08-19,dead,2,631,0,,,0,3965,11,false,"[{""fact"":""last commit"",""detail"":""No push in 631 days — over a year of silence."",""effect"":-88},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-19T06:20:44.694432+00:00
anthropic-cybersecurity-skills,2026-08-19,maintained,100,10,60,57,,8,29359,17,false,"[{""fact"":""last commit"",""detail"":""Last push 10 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""60 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.3.0 57 days ago; 4 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""8 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 107; 100 is the ceiling."",""effect"":-7}]",2026-08-19T06:20:44.694432+00:00
anthropic-skills,2026-08-19,maintained,94,0,15,,,5,170343,315,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""15 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
anything-llm,2026-08-19,maintained,100,0,100,5,4.6,18,64900,295,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.16.0 5 days ago; 14 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 5 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""18 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-19T06:20:44.694432+00:00
art,2026-08-19,maintained,100,0,100,5,,7,10603,62,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.5.19 5 days ago; 21 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
astrbot,2026-08-19,maintained,100,0,100,6,,21,39358,1042,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v4.27.3 6 days ago; 134 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""21 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
astrid,2026-08-19,maintained,100,0,100,29,2.1,4,10284,149,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.10.4 29 days ago; 20 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 2 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""4 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 112; 100 is the ceiling."",""effect"":-12}]",2026-08-19T06:20:44.694432+00:00
auto-claude-code-research-in-sleep,2026-08-19,maintained,100,1,100,9,6.5,11,14882,51,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.4.24 9 days ago; 40 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 7 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""11 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-19T06:20:44.694432+00:00
autogen,2026-08-19,stale,35,125,0,322,,0,60505,558,false,"[{""fact"":""last commit"",""detail"":""No push in 125 days. That is longer than a quarter."",""effect"":-45},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 322 days ago against a 12-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-19T06:20:44.694432+00:00
autogpt,2026-08-19,maintained,100,0,100,6,,16,186683,288,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released autogpt-platform-beta-v0.7.1 6 days ago; 50 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""16 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6},{""fact"":""capped at 100"",""detail"":""The signals totalled 103; 100 is the ceiling."",""effect"":-3}]",2026-08-19T06:20:44.694432+00:00
babyagi,2026-08-19,dead,16,200,0,,,0,22349,20,false,"[{""fact"":""last commit"",""detail"":""No push in 200 days. That is longer than a quarter."",""effect"":-68},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
beads,2026-08-19,maintained,100,0,100,4,,21,26439,514,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.2.2 4 days ago; 97 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""21 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
beeai-framework,2026-08-19,maintained,100,10,63,25,,21,3383,4,false,"[{""fact"":""last commit"",""detail"":""Last push 10 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""63 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released python_v0.1.82 25 days ago; 57 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""21 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 107; 100 is the ceiling."",""effect"":-7}]",2026-08-19T06:20:44.694432+00:00
berkshire,2026-08-19,maintained,91,0,100,133,240,6,15683,21,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 133 days ago (v1.0.0)."",""effect"":-5},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 10 days."",""effect"":-6},{""fact"":""maintainers"",""detail"":""6 people committed in the last 90 days."",""effect"":2}]",2026-08-19T06:20:44.694432+00:00
bettafish,2026-08-19,maintained,84,2,27,239,604.6,5,42031,1,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""27 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 239 days ago against a 14-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 25 days."",""effect"":-6},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-19T06:20:44.694432+00:00
blender-mcp,2026-08-19,maintained,100,2,33,,76.2,14,26024,4,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""33 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 3 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""14 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 105; 100 is the ceiling."",""effect"":-5}]",2026-08-19T06:20:44.694432+00:00
bmad-method,2026-08-19,maintained,100,0,100,8,,9,52046,101,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v6.11.0 8 days ago; 39 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""9 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6},{""fact"":""capped at 100"",""detail"":""The signals totalled 103; 100 is the ceiling."",""effect"":-3}]",2026-08-19T06:20:44.694432+00:00
browser-use,2026-08-19,maintained,100,0,100,2,,7,109676,101,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released 0.13.8 2 days ago; 64 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
burr,2026-08-19,maintained,100,1,53,101,,18,2520,51,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""53 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.42.0-incubating 101 days ago; 1 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""18 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
bytebot,2026-08-19,dead,0,340,0,,,0,11087,57,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-19T06:20:44.694432+00:00
career-ops,2026-08-19,maintained,100,0,100,1,,44,65379,187,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released web-v0.7.0 1 day ago; 35 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""44 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
casdoor,2026-08-19,maintained,100,0,100,0,,16,14221,101,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.154.4 0 days ago; 626 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""16 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
caveman,2026-08-19,maintained,100,0,100,0,,3,99057,228,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released bin-v1.1.1 0 days ago; 22 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
cc-haha,2026-08-19,maintained,100,4,100,4,4.1,2,14156,118,false,"[{""fact"":""last commit"",""detail"":""Pushed 4 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.5.4 4 days ago; 40 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 4 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 112; 100 is the ceiling."",""effect"":-12}]",2026-08-19T06:20:44.694432+00:00
cc-switch,2026-08-19,maintained,100,0,100,0,,17,128149,1487,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.20.0 0 days ago; 51 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""17 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
ccstatusline,2026-08-19,maintained,100,1,73,24,,26,12468,51,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""73 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.2.27 24 days ago; 12 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""26 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
chat2db,2026-08-19,maintained,100,0,100,13,,3,27975,127,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v5.3.3 13 days ago; 4 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
chatbox,2026-08-19,maintained,100,4,100,10,,8,41465,1152,false,"[{""fact"":""last commit"",""detail"":""Pushed 4 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.22.3 10 days ago; 13 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""8 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
chatdev,2026-08-19,maintained,92,25,13,149,,5,34024,46,false,"[{""fact"":""last commit"",""detail"":""Last push 25 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""13 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Last release 149 days ago (v2.2.0)."",""effect"":-5},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-19T06:20:44.694432+00:00
chattts,2026-08-19,stale,42,130,0,130,,0,39771,57,false,"[{""fact"":""last commit"",""detail"":""No push in 130 days. That is longer than a quarter."",""effect"":-45},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 130 days ago (v0.2.5)."",""effect"":-5},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-19T06:20:44.694432+00:00
cherry-studio,2026-08-19,maintained,100,0,100,1,,22,50743,867,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.0.7 1 day ago; 88 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""22 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-19T06:20:44.694432+00:00
chroma,2026-08-19,maintained,93,0,100,106,,12,29082,333,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 106 days ago against a 3-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""12 people committed in the last 90 days."",""effect"":5}]",2026-08-19T06:20:44.694432+00:00
chrome-devtools-mcp,2026-08-19,maintained,100,0,100,8,71,21,49378,76,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released chrome-devtools-mcp-v1.7.0 8 days ago; 58 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 3 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""21 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 111; 100 is the ceiling."",""effect"":-11}]",2026-08-19T06:20:44.694432+00:00
claude-code,2026-08-19,maintained,100,0,99,0,,9,141925,14319,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""99 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.1.235 0 days ago; 191 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""9 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6},{""fact"":""capped at 100"",""detail"":""The signals totalled 103; 100 is the ceiling."",""effect"":-3}]",2026-08-19T06:20:44.694432+00:00
claude-code-best-practice,2026-08-19,maintained,93,0,100,,,1,64682,4,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5}]",2026-08-19T06:20:44.694432+00:00
claude-code-game-studios,2026-08-19,stale,52,89,0,97,,0,24149,34,false,"[{""fact"":""last commit"",""detail"":""Last push 89 days ago. The commit line has slowed."",""effect"":-28},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 97 days ago against a 23-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-19T06:20:44.694432+00:00
claude-code-system-prompts,2026-08-19,maintained,100,0,100,0,,3,12369,6,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.1.235 0 days ago; 209 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
claude-code-tips,2026-08-19,maintained,100,2,73,2,37.5,4,9799,2,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""73 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.26.33 2 days ago; 49 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 38 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""4 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
claude-context,2026-08-19,maintained,85,35,10,,,3,12416,78,false,"[{""fact"":""last commit"",""detail"":""Last push 35 days ago. The commit line has slowed."",""effect"":-18},{""fact"":""commit volume"",""detail"":""10 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-19T06:20:44.694432+00:00
claude-flow,2026-08-19,maintained,100,0,100,5,,6,68255,568,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.38.9 5 days ago; 557 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""6 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
claude-hud,2026-08-19,maintained,100,0,100,0,122,29,27479,5,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.8.0 0 days ago; 18 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 5 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""29 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 111; 100 is the ceiling."",""effect"":-11}]",2026-08-19T06:20:44.694432+00:00
claude-mem,2026-08-19,maintained,100,0,100,2,,2,91187,18,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v13.15.2 2 days ago; 307 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-19T06:20:44.694432+00:00
claude-obsidian,2026-08-19,maintained,100,17,34,18,,2,11011,64,false,"[{""fact"":""last commit"",""detail"":""Last push 17 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""34 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.1.0 18 days ago; 9 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 104; 100 is the ceiling."",""effect"":-4}]",2026-08-19T06:20:44.694432+00:00
claude-plugins-official,2026-08-19,maintained,100,0,100,,,3,33683,900,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-19T06:20:44.694432+00:00
