tool_slug,captured_on,verdict,freshness,days_since_push,recent_commits,release_gap_days,issue_response_hours,contributors_90d,stars,open_issues,archived,reasons,captured_at
aide,2026-08-01,dead,0,522,0,,,0,2195,94,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-01T18:27:06.641092+00:00
aider,2026-08-01,maintained,65,71,5,357,,3,47861,1324,false,"[{""fact"":""last commit"",""detail"":""Last push 71 days ago. The commit line has slowed."",""effect"":-8},{""fact"":""commit volume"",""detail"":""5 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Last release 357 days ago against a 8-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
aionui,2026-08-01,maintained,100,0,100,1,,14,31231,563,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.1.45 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""14 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
alphacodium,2026-08-01,dead,4,614,0,,,0,3962,11,false,"[{""fact"":""last commit"",""detail"":""No push in 614 days — over a year of silence."",""effect"":-45},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks."",""effect"":-6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-01T18:27:06.641092+00:00
anthropic-cybersecurity-skills,2026-08-01,maintained,94,36,33,40,,7,27092,15,false,"[{""fact"":""last commit"",""detail"":""Last push 36 days ago. The commit line has slowed."",""effect"":-8},{""fact"":""commit volume"",""detail"":""33 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.3.0 40 days ago; 4 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
anthropic-skills,2026-08-01,maintained,96,7,14,,,4,165620,308,false,"[{""fact"":""last commit"",""detail"":""Pushed 7 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""14 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""4 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
anything-llm,2026-08-01,maintained,100,1,100,36,9,15,64203,292,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.15.0 36 days ago; 13 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 9 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""15 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
astrbot,2026-08-01,maintained,100,0,100,4,,39,38438,1017,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v4.26.8 4 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""39 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
autogen,2026-08-01,stale,35,108,0,305,,0,60154,558,false,"[{""fact"":""last commit"",""detail"":""No push in 108 days. That is longer than a quarter."",""effect"":-25},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks."",""effect"":-6},{""fact"":""releases"",""detail"":""Last release 305 days ago against a 6-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-01T18:27:06.641092+00:00
autogpt,2026-08-01,maintained,100,0,100,3,,19,185745,304,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released autogpt-platform-beta-v0.6.70 3 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""19 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
babyagi,2026-08-01,dead,18,182,0,,,0,22342,21,false,"[{""fact"":""last commit"",""detail"":""No push in 182 days. That is longer than a quarter."",""effect"":-25},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks."",""effect"":-6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
beads,2026-08-01,maintained,100,0,100,6,,7,25796,333,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.1.2 6 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
beeai-framework,2026-08-01,maintained,100,8,67,8,,23,3337,4,false,"[{""fact"":""last commit"",""detail"":""Last push 8 days ago — inside a normal release month."",""effect"":0},{""fact"":""commit volume"",""detail"":""67 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released python_v0.1.82 8 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""23 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
bettafish,2026-08-01,maintained,82,11,25,221,604.6,5,41914,1,false,"[{""fact"":""last commit"",""detail"":""Last push 11 days ago — inside a normal release month."",""effect"":0},{""fact"":""commit volume"",""detail"":""25 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Last release 221 days ago against a 14-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 25 days."",""effect"":-6},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
bmad-method,2026-08-01,maintained,100,0,100,28,,18,51362,84,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v6.10.0 28 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""18 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
browser-use,2026-08-01,maintained,100,1,100,5,,7,107502,88,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released 0.13.7 5 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
burr,2026-08-01,maintained,93,0,49,83,,19,2497,51,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""49 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Last release 83 days ago against a 6-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""19 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
