kit_slug,method_version,total,normalised,coverage,maintenance,completeness,transparency,documentation,support,breakdown,computed_at
nextacular,1.0,61.3,61.3,1,12,14.3,20,9,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":4,""points"":12,""cadence"":0,""recency"":8,""measured"":true,""days_since_commit"":97},""completeness"":{""of"":14,""max"":25,""found"":8,""points"":14.3,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":4,""points"":9,""measured"":true}}",2026-09-04T05:41:51.436+00:00
nextjs-saas-starter,1.0,36.1,36.1,1,9,7.1,14,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":9,""cadence"":0,""recency"":4,""measured"":true,""days_since_commit"":266},""completeness"":{""of"":14,""max"":25,""found"":4,""points"":7.1,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":14,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.435+00:00
nextjs-subscription-payments,1.0,40.1,40.1,1,5,7.1,17,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":5,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":589},""completeness"":{""of"":14,""max"":25,""found"":4,""points"":7.1,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
nextless,1.0,31.9,45.6,0.7,,17.9,8,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Email support"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":8,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
open-saas,1.0,77.3,77.3,1,30,14.3,20,7,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Community Discord / Slack"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":30,""cadence"":10,""recency"":15,""measured"":true,""days_since_commit"":29},""completeness"":{""of"":14,""max"":25,""found"":8,""points"":14.3,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
precedent,1.0,25.8,25.8,1,4,1.8,14,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":4,""points"":4,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":701},""completeness"":{""of"":14,""max"":25,""found"":1,""points"":1.8,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":14,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saas-boilerplate,1.0,72.5,72.5,1,29,12.5,20,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":4,""points"":29,""cadence"":10,""recency"":15,""measured"":true,""days_since_commit"":14},""completeness"":{""of"":14,""max"":25,""found"":7,""points"":12.5,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saas-pegasus,1.0,52.9,75.6,0.7,,17.9,14,11,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Slack community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":14,""source"":0,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":12,""points"":11,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saas-pegasus-oss,1.0,51.7,51.7,1,13,10.7,17,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":1,""points"":13,""cadence"":0,""recency"":12,""measured"":true,""days_since_commit"":31},""completeness"":{""of"":14,""max"":25,""found"":6,""points"":10.7,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saas-ui,1.0,77.3,77.3,1,30,14.3,20,7,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":30,""cadence"":10,""recency"":15,""measured"":true,""days_since_commit"":12},""completeness"":{""of"":14,""max"":25,""found"":8,""points"":14.3,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saasfly,1.0,57.3,57.3,1,4,14.3,20,13,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Community Discord / Slack"",""measured"":true},""maintenance"":{""max"":30,""hands"":4,""points"":4,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":396},""completeness"":{""of"":14,""max"":25,""found"":8,""points"":14.3,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":20,""points"":13,""measured"":true}}",2026-09-04T05:41:51.436+00:00
saasykit,1.0,53.9,77,0.7,,17.9,11,15,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":46,""points"":15,""measured"":true}}",2026-09-04T05:41:51.436+00:00
shipfast,1.0,48.5,69.3,0.7,,12.5,11,15,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":7,""points"":12.5,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":57,""points"":15,""measured"":true}}",2026-09-04T05:41:51.436+00:00
shipixen,1.0,27.6,39.4,0.7,,3.6,11,7,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Email support"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":2,""points"":3.6,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
shipped-club,1.0,28.7,41,0.7,,10.7,8,0,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":6,""points"":10.7,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":8,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
supastarter,1.0,59,84.3,0.7,,25,11,13,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":14,""points"":25,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":31,""points"":13,""measured"":true}}",2026-09-04T05:41:51.436+00:00
